date,total_cases_portugal,total_deaths_portugal,cfr_portugal,total_cases_mundo,total_deaths_mundo,cfr_mundo
2020-05-29,30907,1363,4.410004206166888,5635541,390196,6.9238428040892614
2020-05-30,30907,1363,4.410004206166888,5753382,395489,6.874026442186526
2020-05-31,32863,1432,4.357484100660317,5888499,401456,6.817628736966755
2020-06-01,32863,1432,4.357484100660317,6013583,406091,6.752895902492741
2020-06-02,32863,1432,4.357484100660317,6120695,410243,6.702555837204762
2020-06-03,32863,1432,4.357484100660317,6217475,414474,6.666275296643734
2020-06-04,32863,1432,4.357484100660317,6339054,419712,6.621051027487698
2020-06-05,32863,1432,4.357484100660317,6463060,425147,6.578106964812333
2020-06-06,32863,1432,4.357484100660317,6587602,430614,6.536733700669833
2020-06-07,34974,1482,4.237433522044948,6732403,436335,6.481118257478051
2020-06-08,34974,1482,4.237433522044948,6855652,441336,6.437549630582183
2020-06-09,34974,1482,4.237433522044948,6963398,445373,6.395914753113351
2020-06-10,34974,1482,4.237433522044948,7069905,449894,6.36350842055162
2020-06-11,34974,1482,4.237433522044948,7198879,455216,6.323428967204476
2020-06-12,34974,1482,4.237433522044948,7336976,460691,6.279031034039091
2020-06-13,34974,1482,4.237433522044948,7476048,466135,6.235045574881274
2020-06-14,36933,1513,4.096607370102618,7633762,471602,6.177845209216636
2020-06-15,36933,1513,4.096607370102618,7763963,476319,6.1349983249533775
2020-06-16,36933,1513,4.096607370102618,7880484,480713,6.100044108965896
2020-06-17,36933,1513,4.096607370102618,8001213,486730,6.08320263440056
2020-06-18,36933,1513,4.096607370102618,8180634,492238,6.0171130990580926
2020-06-19,36933,1513,4.096607370102618,8325084,497829,5.979867590525212
2020-06-20,36933,1513,4.096607370102618,8465102,503346,5.9461303596814306
2020-06-21,39394,1533,3.8914555516068434,8662746,509044,5.876242937285706
2020-06-22,39394,1533,3.8914555516068434,8815054,514092,5.831977886919354
2020-06-23,39394,1533,3.8914555516068434,8943099,518170,5.794076527610843
2020-06-24,39394,1533,3.8914555516068434,9081343,522439,5.752882585758516
2020-06-25,39394,1533,3.8914555516068434,9251424,527968,5.70688361056633
2020-06-26,39394,1533,3.8914555516068434,9427960,533299,5.656568335037485
2020-06-27,39394,1533,3.8914555516068434,9610182,540310,5.622266050736604
2020-06-28,42067,1571,3.7345187439085272,9819195,545759,5.558082918202562
2020-06-29,42067,1571,3.7345187439085272,9994711,550729,5.51020434707917
2020-06-30,42067,1571,3.7345187439085272,10150484,555096,5.468665336549469
2020-07-01,42067,1571,3.7345187439085272,10317190,559947,5.427320811189869
2020-07-02,42067,1571,3.7345187439085272,10498226,565209,5.38385247183667
2020-07-03,42067,1571,3.7345187439085272,10706249,570534,5.328981233296554
2020-07-04,42067,1571,3.7345187439085272,10916934,576061,5.276765436156342
2020-07-05,44524,1625,3.6497170065582605,11146542,582121,5.222435801165958
2020-07-06,44524,1625,3.6497170065582605,11334487,587336,5.181848988842636
2020-07-07,44524,1625,3.6497170065582605,11498729,592024,5.148603815256451
2020-07-08,44524,1625,3.6497170065582605,11671697,597057,5.115425803120146
2020-07-09,44524,1625,3.6497170065582605,11882399,602911,5.073983797379636
2020-07-10,44524,1625,3.6497170065582605,12104427,608817,5.029705247509857
2020-07-11,44524,1625,3.6497170065582605,12322997,614769,4.988794527824685
2020-07-12,47090,1666,3.537906137184116,12573393,620906,4.938253341798829
2020-07-13,47090,1666,3.537906137184116,12788752,626721,4.900564183276054
2020-07-14,47090,1666,3.537906137184116,12979380,631866,4.868229453178811
2020-07-15,47090,1666,3.537906137184116,13168109,637170,4.838735766843971
2020-07-16,47090,1666,3.537906137184116,13395233,643335,4.802716010986894
2020-07-17,47090,1666,3.537906137184116,13635011,649826,4.765863408544371
2020-07-18,47090,1666,3.537906137184116,13876814,657026,4.734703513356885
2020-07-19,49233,1695,3.442812747547377,14146079,663456,4.690034602521306
2020-07-20,49233,1695,3.442812747547377,14372147,669437,4.657877490398616
2020-07-21,49233,1695,3.442812747547377,14573057,674953,4.631512797898203
2020-07-22,49233,1695,3.442812747547377,14777861,680520,4.604996622988942
2020-07-23,49233,1695,3.442812747547377,15021244,688104,4.580872263309217
2020-07-24,49233,1695,3.442812747547377,15306463,694595,4.537919700978599
2020-07-25,49233,1695,3.442812747547377,15583547,701309,4.500316904745755
2020-07-26,50933,1724,3.3848389060137825,15887368,708237,4.457862372168883
2020-07-27,50933,1724,3.3848389060137825,16135071,714501,4.4282482549968325
2020-07-28,50933,1724,3.3848389060137825,16346277,720037,4.404899048266465
2020-07-29,50933,1724,3.3848389060137825,16569336,726010,4.381648123980345
2020-07-30,50933,1724,3.3848389060137825,16823832,732328,4.3529203097130305
2020-07-31,50933,1724,3.3848389060137825,17117694,739500,4.3200912459353455
2020-08-01,50933,1724,3.3848389060137825,17401235,746101,4.287632458270921
2020-08-02,52377,1742,3.3258873169520973,17725989,753054,4.24830456568601
2020-08-03,52377,1742,3.3258873169520973,17975006,759628,4.22602362413676
2020-08-04,52377,1742,3.3258873169520973,18193120,765395,4.207057393124434
2020-08-05,52377,1742,3.3258873169520973,18405425,771244,4.190308020597188
2020-08-06,52377,1742,3.3258873169520973,18668734,778067,4.1677544926185135
2020-08-07,52377,1742,3.3258873169520973,18950623,785142,4.1430933431581645
2020-08-08,52377,1742,3.3258873169520973,19223279,791770,4.118808242860128
2020-08-09,53861,1764,3.2750970089675278,19564026,798741,4.082702609370894
2020-08-10,53861,1764,3.2750970089675278,19817542,805205,4.063092183682517
2020-08-11,53861,1764,3.2750970089675278,20029846,810787,4.047894327295378
2020-08-12,53861,1764,3.2750970089675278,20250744,816321,4.031066710437898
2020-08-13,53861,1764,3.2750970089675278,20531056,823086,4.008980346651434
2020-08-14,53861,1764,3.2750970089675278,20810152,829920,3.988053523107376
2020-08-15,53861,1764,3.2750970089675278,21094425,836512,3.965559620610659
2020-08-16,55458,1783,3.2150456201089113,21448924,843425,3.9322485361037227
2020-08-17,55458,1783,3.2150456201089113,21690399,849255,3.915349828281167
2020-08-18,55458,1783,3.2150456201089113,21901176,854677,3.90242514831167
2020-08-19,55458,1783,3.2150456201089113,22121510,860264,3.8888122917468113
2020-08-20,55458,1783,3.2150456201089113,22385976,866721,3.871714148179199
2020-08-21,55458,1783,3.2150456201089113,22657774,873449,3.8549638636169643
2020-08-22,55458,1783,3.2150456201089113,22920591,879583,3.837523212206875
2020-08-23,56982,1806,3.1694219227124356,23272070,886131,3.8077016784497464
2020-08-24,56982,1806,3.1694219227124356,23517308,892012,3.7930021582402205
2020-08-25,56982,1806,3.1694219227124356,23728052,897188,3.781127924028487
